Date,VFV.TO,VDY.TO,VMO.TO,FCUV.TO,FCUQ.TO,INAI.TO,MNT.TO
2012-02-13,,,,,,,19.829999923706055
2012-02-14,,,,,,,19.799999237060547
2012-02-15,,,,,,,19.969999313354492
2012-02-16,,,,,,,19.850000381469727
2012-02-17,,,,,,,19.8700008392334
2012-02-21,,,,,,,20.200000762939453
2012-02-22,,,,,,,20.549999237060547
2012-02-23,,,,,,,20.520000457763672
2012-02-24,,,,,,,20.469999313354492
2012-02-27,,,,,,,20.38999938964844
2012-02-28,,,,,,,20.5
2012-02-29,,,,,,,19.459999084472656
2012-03-01,,,,,,,19.649999618530273
2012-03-02,,,,,,,19.65999984741211
2012-03-05,,,,,,,19.700000762939453
2012-03-06,,,,,,,19.459999084472656
2012-03-07,,,,,,,19.489999771118164
2012-03-08,,,,,,,19.440000534057617
2012-03-09,,,,,,,19.450000762939453
2012-03-12,,,,,,,19.25
2012-03-13,,,,,,,18.940000534057617
2012-03-14,,,,,,,18.43000030517578
2012-03-15,,,,,,,18.690000534057617
2012-03-16,,,,,,,18.549999237060547
2012-03-19,,,,,,,18.5
2012-03-20,,,,,,,18.3799991607666
2012-03-21,,,,,,,18.450000762939453
2012-03-22,,,,,,,18.5
2012-03-23,,,,,,,18.8700008392334
2012-03-26,,,,,,,19.170000076293945
2012-03-27,,,,,,,19.1200008392334
2012-03-28,,,,,,,18.739999771118164
2012-03-29,,,,,,,18.739999771118164
2012-03-30,,,,,,,18.969999313354492
2012-04-02,,,,,,,18.950000762939453
2012-04-03,,,,,,,18.6299991607666
2012-04-04,,,,,,,18.43000030517578
2012-04-05,,,,,,,18.510000228881836
2012-04-09,,,,,,,18.670000076293945
2012-04-10,,,,,,,19.170000076293945
2012-04-11,,,,,,,19.09000015258789
2012-04-12,,,,,,,19.1299991607666
2012-04-13,,,,,,,18.850000381469727
2012-04-16,,,,,,,18.88999938964844
2012-04-17,,,,,,,18.65999984741211
2012-04-18,,,,,,,18.649999618530273
2012-04-19,,,,,,,18.780000686645508
2012-04-20,,,,,,,18.719999313354492
2012-04-23,,,,,,,18.649999618530273
2012-04-24,,,,,,,18.61000061035156
2012-04-25,,,,,,,18.549999237060547
2012-04-26,,,,,,,18.729999542236328
2012-04-27,,,,,,,18.729999542236328
2012-04-30,,,,,,,18.8799991607666
2012-05-01,,,,,,,18.84000015258789
2012-05-02,,,,,,,18.770000457763672
2012-05-03,,,,,,,18.649999618530273
2012-05-04,,,,,,,18.829999923706055
2012-05-07,,,,,,,18.75
2012-05-08,,,,,,,18.5
2012-05-09,,,,,,,18.3700008392334
2012-05-10,,,,,,,18.399999618530273
2012-05-11,,,,,,,18.229999542236328
2012-05-14,,,,,,,18.1299991607666
2012-05-15,,,,,,,18.020000457763672
2012-05-16,,,,,,,18.059999465942383
2012-05-17,,,,,,,18.350000381469727
2012-05-18,,,,,,,18.350000381469727
2012-05-22,,,,,,,18.280000686645508
2012-05-23,,,,,,,18.040000915527344
2012-05-24,,,,,,,18.219999313354492
2012-05-25,,,,,,,18.530000686645508
2012-05-28,,,,,,,18.549999237060547
2012-05-29,,,,,,,18.219999313354492
2012-05-30,,,,,,,18.440000534057617
2012-05-31,,,,,,,18.479999542236328
2012-06-01,,,,,,,19.309999465942383
2012-06-04,,,,,,,19.3700008392334
2012-06-05,,,,,,,19.309999465942383
2012-06-06,,,,,,,19.18000030517578
2012-06-07,,,,,,,18.940000534057617
2012-06-08,,,,,,,18.93000030517578
2012-06-11,,,,,,,19.100000381469727
2012-06-12,,,,,,,19.100000381469727
2012-06-13,,,,,,,19.309999465942383
2012-06-14,,,,,,,19.43000030517578
2012-06-15,,,,,,,19.43000030517578
2012-06-18,,,,,,,19.5
